Kabupaten/Kota;Y;X1;X2;X3;X4
Bogor;28527;101;93,93;88,77;75,65
Sukabumi;12251;58;89,3;100;91,26
Cianjur;11924;47;91,62;69,99;89,83
Bandung;13678;62;96,28;96,79;82,63
Garut;9404;67;85,37;91,34;85,56
Tasikmalaya;4795;40;86,78;75,62;92,66
Ciamis;3299;37;96,42;95,16;91,39
Kuningan;3995;37;97,92;96,34;92,84
Cirebon;9414;60;97,12;96,24;76,86
Majalengka;4451;32;94,38;98,11;87,89
Sumedang;3750;35;96,23;98,99;87,24
Indramayu;5720;49;97,39;97,96;89,1
Subang;6234;40;98,69;100;91,21
Purwakarta;4616;20;91,02;95,78;77,44
Karawang;13133;50;97,23;77,53;64,39
Bekasi;14788;51;96,76;97;71,25
Bandung Barat;4474;32;89,25;94,91;73,6
Pangandaran;942;15;88,36;100;93,18
Kota Bogor;11230;25;99,11;72,93;86,51
Kota Sukabumi;3464;15;99,46;95,53;87,22
Kota Bandung;18462;80;97,62;69,46;83,36
Kota Cirebon;4054;22;98,23;95,38;82,79
Kota Bekasi;13445;48;98,89;99,62;75,1
Depok;8269;38;99,85;99,46;79,06
Cimahi;4434;13;99,6;78,58;75,07
Kota Tasikmalaya;4610;22;93,79;34,56;86,64
Banjar;1435;10;96,97;99,11;89,58
